order_month,region,category,channel,units_sold,revenue,new_customers
2025-01,North America,Electronics,Wholesale,378,74595.71,37
2025-01,North America,Apparel,Online,214,11442.61,32
2025-01,North America,Home & Garden,Online,137,9885.46,11
2025-01,North America,Sports,Online,154,9109.37,14
2025-01,North America,Beauty,Wholesale,121,4538.79,14
2025-01,Europe,Electronics,Retail,395,69124.04,57
2025-01,Europe,Apparel,Wholesale,149,7472.63,14
2025-01,Europe,Home & Garden,Retail,87,6655.63,9
2025-01,Europe,Sports,Retail,126,8460.27,17
2025-01,Europe,Beauty,Wholesale,74,3002.0,6
2025-01,Asia Pacific,Electronics,Retail,452,87508.56,67
2025-01,Asia Pacific,Apparel,Wholesale,153,7408.06,20
2025-01,Asia Pacific,Home & Garden,Retail,141,11623.25,21
2025-01,Asia Pacific,Sports,Retail,125,8173.68,13
2025-01,Asia Pacific,Beauty,Retail,94,3669.26,12
2025-01,Latin America,Electronics,Wholesale,237,45816.27,22
2025-01,Latin America,Apparel,Wholesale,87,4496.68,8
2025-01,Latin America,Home & Garden,Wholesale,71,5289.56,7
2025-01,Latin America,Sports,Online,68,4026.19,7
2025-01,Latin America,Beauty,Retail,46,1863.55,5
2025-02,North America,Electronics,Wholesale,433,84316.07,48
2025-02,North America,Apparel,Wholesale,201,10058.8,20
2025-02,North America,Home & Garden,Wholesale,141,11432.67,16
2025-02,North America,Sports,Wholesale,154,9413.38,24
2025-02,North America,Beauty,Wholesale,116,4588.4,17
2025-02,Europe,Electronics,Online,386,76767.38,43
2025-02,Europe,Apparel,Online,153,8078.06,17
2025-02,Europe,Home & Garden,Retail,129,10642.83,10
2025-02,Europe,Sports,Wholesale,106,7201.66,14
2025-02,Europe,Beauty,Wholesale,86,3160.03,7
2025-02,Asia Pacific,Electronics,Online,493,99302.98,49
2025-02,Asia Pacific,Apparel,Wholesale,202,10516.91,17
2025-02,Asia Pacific,Home & Garden,Wholesale,114,9089.69,14
2025-02,Asia Pacific,Sports,Online,136,8232.66,21
2025-02,Asia Pacific,Beauty,Wholesale,121,4670.79,14
2025-02,Latin America,Electronics,Online,274,55214.6,40
2025-02,Latin America,Apparel,Retail,91,4535.81,11
2025-02,Latin America,Home & Garden,Online,57,4436.03,4
2025-02,Latin America,Sports,Wholesale,89,5357.33,10
2025-02,Latin America,Beauty,Wholesale,50,1908.41,6
2025-03,North America,Electronics,Online,572,113118.76,77
2025-03,North America,Apparel,Wholesale,197,11055.57,26
2025-03,North America,Home & Garden,Retail,168,13002.28,16
2025-03,North America,Sports,Online,156,10125.07,15
2025-03,North America,Beauty,Online,98,3847.84,8
2025-03,Europe,Electronics,Online,445,89415.15,38
2025-03,Europe,Apparel,Online,152,7885.55,18
2025-03,Europe,Home & Garden,Wholesale,133,10491.92,15
2025-03,Europe,Sports,Retail,148,9002.81,12
2025-03,Europe,Beauty,Retail,90,3371.36,13
2025-03,Asia Pacific,Electronics,Online,466,95398.88,40
2025-03,Asia Pacific,Apparel,Retail,208,11336.19,18
2025-03,Asia Pacific,Home & Garden,Online,113,8741.53,12
2025-03,Asia Pacific,Sports,Retail,147,9971.71,12
2025-03,Asia Pacific,Beauty,Wholesale,91,3542.18,11
2025-03,Latin America,Electronics,Online,289,58655.89,42
2025-03,Latin America,Apparel,Online,102,5288.18,15
2025-03,Latin America,Home & Garden,Online,62,4450.79,6
